,ifeval_NoComma,ifeval_NumberHighlightedSections,ifeval_NumberWords,ifeval_NumberPlaceholders,ifeval_RepeatPrompt,ifeval_Title,ifeval_EnglishLowercase,ifeval_NumberBulletLists,ifeval_EnglishCapital,ifeval_MultipleSections,ifeval_CapitalWordFrequency,ifeval_Quotation,ifeval_Existence,ifeval_JsonFormat,ifeval_NumberParagraphs,ifeval_TwoResponses,ifeval_ResponseLanguage,ifeval_LetterFrequency,ifeval_EndChecker,ifeval_ForbiddenWords,ifeval_Frequency,ifeval_NumberSentences,ifeval_Postscript,ifeval_NthParagraphFirstWord,ifeval_ConstrainedResponse,ifeval_for_system_prompt_NoComma,ifeval_for_system_prompt_NumberHighlightedSections,ifeval_for_system_prompt_NumberWords,ifeval_for_system_prompt_NumberPlaceholders,ifeval_for_system_prompt_RepeatPrompt,ifeval_for_system_prompt_Title,ifeval_for_system_prompt_EnglishLowercase,ifeval_for_system_prompt_NumberBulletLists,ifeval_for_system_prompt_EnglishCapital,ifeval_for_system_prompt_MultipleSections,ifeval_for_system_prompt_CapitalWordFrequency,ifeval_for_system_prompt_Quotation,ifeval_for_system_prompt_Existence,ifeval_for_system_prompt_JsonFormat,ifeval_for_system_prompt_NumberParagraphs,ifeval_for_system_prompt_TwoResponses,ifeval_for_system_prompt_ResponseLanguage,ifeval_for_system_prompt_LetterFrequency,ifeval_for_system_prompt_EndChecker,ifeval_for_system_prompt_ForbiddenWords,ifeval_for_system_prompt_Frequency,ifeval_for_system_prompt_NumberSentences,ifeval_for_system_prompt_Postscript,ifeval_for_system_prompt_NthParagraphFirstWord,ifeval_for_system_prompt_ConstrainedResponse,m_ifeval_ResponseLanguage,m_ifeval_NumberOfSentences,m_ifeval_PlaceholderConstraint,m_ifeval_BulletListChecker,m_ifeval_NumberedList,m_ifeval_ConstrainedResponse,m_ifeval_HighlightSection,m_ifeval_SectionChecker,m_ifeval_ParagraphChecker,m_ifeval_PostscriptChecker,m_ifeval_KeywordChecker,m_ifeval_KeywordFrequency,m_ifeval_NumberOfLetters,m_ifeval_JsonFormat,m_ifeval_ParagraphFirstWordCheck,m_ifeval_ForbiddenWords,m_ifeval_TwoResponses,m_ifeval_RepeatPromptThenAnswer,m_ifeval_EndChecker,m_ifeval_TitleChecker,m_ifeval_LetterFrequency,m_ifeval_FuriganaForKanji,m_ifeval_PeriodChecker,m_ifeval_CommaChecker,m_ifeval_QuotationChecker,m_ifeval_KanjiLimit,m_ifeval_NoHiragana,m_ifeval_HiraganaOnly,m_ifeval_NoKatakana,m_ifeval_KatakanaOnly,m_ifeval_SentenceEndingUnification,m_ifeval_NominalEnding,m_ifeval_KanjiNumberNotation,m_ifeval_for_system_prompt_ResponseLanguage,m_ifeval_for_system_prompt_NumberOfSentences,m_ifeval_for_system_prompt_PlaceholderConstraint,m_ifeval_for_system_prompt_BulletListChecker,m_ifeval_for_system_prompt_NumberedList,m_ifeval_for_system_prompt_ConstrainedResponse,m_ifeval_for_system_prompt_HighlightSection,m_ifeval_for_system_prompt_SectionChecker,m_ifeval_for_system_prompt_ParagraphChecker,m_ifeval_for_system_prompt_PostscriptChecker,m_ifeval_for_system_prompt_KeywordChecker,m_ifeval_for_system_prompt_KeywordFrequency,m_ifeval_for_system_prompt_NumberOfLetters,m_ifeval_for_system_prompt_JsonFormat,m_ifeval_for_system_prompt_ParagraphFirstWordCheck,m_ifeval_for_system_prompt_ForbiddenWords,m_ifeval_for_system_prompt_TwoResponses,m_ifeval_for_system_prompt_RepeatPromptThenAnswer,m_ifeval_for_system_prompt_EndChecker,m_ifeval_for_system_prompt_TitleChecker,m_ifeval_for_system_prompt_LetterFrequency,m_ifeval_for_system_prompt_FuriganaForKanji,m_ifeval_for_system_prompt_PeriodChecker,m_ifeval_for_system_prompt_CommaChecker,m_ifeval_for_system_prompt_QuotationChecker,m_ifeval_for_system_prompt_KanjiLimit,m_ifeval_for_system_prompt_NoHiragana,m_ifeval_for_system_prompt_HiraganaOnly,m_ifeval_for_system_prompt_NoKatakana,m_ifeval_for_system_prompt_KatakanaOnly,m_ifeval_for_system_prompt_SentenceEndingUnification,m_ifeval_for_system_prompt_NominalEnding,m_ifeval_for_system_prompt_KanjiNumberNotation
Qwen3-235B-A22B-FP8_non-thinking,0.9545454545454546,1.0,0.7307692307692307,0.9629629629629629,0.8292682926829268,1.0,0.9743589743589743,0.8064516129032258,0.64,0.9285714285714286,0.76,0.975609756097561,0.9487179487179487,0.8823529411764706,0.8518518518518519,0.9583333333333334,1.0,0.696969696969697,0.9230769230769231,0.8571428571428571,0.9047619047619048,0.75,0.9615384615384616,0.75,1.0,0.9696969696969697,0.9583333333333334,0.5961538461538461,0.9259259259259259,0.7317073170731707,1.0,0.8717948717948718,0.7741935483870968,0.76,1.0,0.76,0.9512195121951219,0.9487179487179487,1.0,0.8888888888888888,0.9583333333333334,1.0,0.6666666666666666,0.9615384615384616,0.6530612244897959,0.8333333333333334,0.7307692307692307,1.0,0.6666666666666666,1.0,1.0,0.7142857142857143,1.0,0.2857142857142857,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,0.8571428571428571,1.0,0.5714285714285714,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.7142857142857143,1.0,1.0,0.2857142857142857,0.6,0.0,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.0,0.5,0.14285714285714285,0.7142857142857143,1.0,0.75,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.8571428571428571,1.0,1.0,0.8571428571428571,1.0,1.0,0.8571428571428571,1.0,1.0,0.8333333333333334,0.8571428571428571,0.7142857142857143,0.8571428571428571,1.0,1.0,0.2857142857142857,0.6,0.08333333333333333,0.8571428571428571,1.0,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5,0.42857142857142855,0.5714285714285714,0.7142857142857143
llm-jp-3.1-8x13b-instruct4,0.07575757575757576,0.7916666666666666,0.5,0.7777777777777778,0.024390243902439025,0.7567567567567568,0.7435897435897436,0.6129032258064516,0.24,0.9285714285714286,0.52,0.8292682926829268,0.6923076923076923,0.8823529411764706,0.3333333333333333,0.6666666666666666,0.9032258064516129,0.5151515151515151,0.7692307692307693,0.3877551020408163,0.5238095238095238,0.5384615384615384,0.9615384615384616,0.3333333333333333,0.7,0.12121212121212122,0.25,0.3269230769230769,0.2222222222222222,0.0,0.35135135135135137,0.3333333333333333,0.22580645161290322,0.04,0.5714285714285714,0.52,0.24390243902439024,0.41025641025641024,0.058823529411764705,0.14814814814814814,0.375,0.3225806451612903,0.5151515151515151,0.6923076923076923,0.3469387755102041,0.2857142857142857,0.34615384615384615,0.46153846153846156,0.0,0.2,0.5,0.7142857142857143,0.5714285714285714,0.0,0.8571428571428571,1.0,0.0,1.0,0.14285714285714285,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.7142857142857143,0.42857142857142855,0.6,0.3333333333333333,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0,0.2857142857142857,0.0,0.16666666666666666,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.5,0.7142857142857143,0.42857142857142855,0.0,0.5714285714285714,0.75,0.0,0.8571428571428571,0.0,0.5714285714285714,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,0.7142857142857143,0.2857142857142857,0.8,0.25,0.14285714285714285,0.0,0.14285714285714285,0.5714285714285714,0.0,0.2857142857142857,0.0,0.16666666666666666,0.14285714285714285,0.5714285714285714,0.2857142857142857
sarashina2.2-3b-instruct-v0.1,0.07575757575757576,0.875,0.5576923076923077,0.6296296296296297,0.024390243902439025,0.972972972972973,0.2564102564102564,0.5806451612903226,0.0,0.42857142857142855,0.6,0.3170731707317073,0.7435897435897436,0.35294117647058826,0.18518518518518517,0.2916666666666667,0.8387096774193549,0.48484848484848486,0.3076923076923077,0.40816326530612246,0.5952380952380952,0.5961538461538461,0.9615384615384616,0.3333333333333333,0.9,0.12121212121212122,0.5416666666666666,0.5384615384615384,0.4444444444444444,0.04878048780487805,0.972972972972973,0.10256410256410256,0.7096774193548387,0.08,0.5,0.44,0.21951219512195122,0.5384615384615384,0.5882352941176471,0.037037037037037035,0.20833333333333334,0.7741935483870968,0.48484848484848486,0.07692307692307693,0.46938775510204084,0.38095238095238093,0.5192307692307693,0.9615384615384616,0.08333333333333333,0.6,0.25,0.8571428571428571,0.2857142857142857,0.0,0.5714285714285714,0.0,0.2857142857142857,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.0,0.8571428571428571,0.0,0.8,0.0,0.14285714285714285,0.0,0.2857142857142857,0.5714285714285714,0.0,0.0,0.0,0.0,0.14285714285714285,0.5714285714285714,0.42857142857142855,0.25,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.25,0.42857142857142855,0.8571428571428571,0.0,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.5714285714285714,0.0,0.2857142857142857,0.0,0.0,0.0,0.5714285714285714,0.14285714285714285,0.8,0.0,0.0,0.0,0.2857142857142857,0.5714285714285714,0.0,0.0,0.0,0.0,0.14285714285714285,0.5714285714285714,0.14285714285714285
gemma-3-27b-it,0.9848484848484849,1.0,0.9230769230769231,0.9629629629629629,0.7560975609756098,1.0,0.9487179487179487,0.8064516129032258,0.8,1.0,0.76,0.8780487804878049,0.9487179487179487,1.0,0.9629629629629629,1.0,0.6129032258064516,0.7272727272727273,0.9615384615384616,0.8163265306122449,0.9285714285714286,0.7307692307692307,1.0,0.08333333333333333,1.0,0.9848484848484849,1.0,0.9230769230769231,0.9629629629629629,0.6097560975609756,1.0,0.9743589743589743,0.8387096774193549,0.88,1.0,0.76,0.9024390243902439,0.9743589743589743,0.8823529411764706,1.0,1.0,0.8709677419354839,0.696969696969697,0.9615384615384616,0.8775510204081632,0.9761904761904762,0.7884615384615384,1.0,0.16666666666666666,1.0,0.5,0.7142857142857143,1.0,0.2857142857142857,0.7142857142857143,1.0,0.8571428571428571,1.0,0.8571428571428571,0.8571428571428571,1.0,1.0,0.7142857142857143,0.6666666666666666,0.42857142857142855,0.7142857142857143,1.0,1.0,0.8571428571428571,0.2857142857142857,0.6,0.0,0.7142857142857143,0.8571428571428571,0.42857142857142855,0.8571428571428571,0.0,0.14285714285714285,0.0,0.16666666666666666,0.0,0.7142857142857143,0.8571428571428571,0.75,0.5714285714285714,1.0,0.2857142857142857,0.8571428571428571,1.0,1.0,0.8571428571428571,1.0,1.0,0.7142857142857143,1.0,0.8571428571428571,0.8333333333333334,0.42857142857142855,0.8571428571428571,1.0,1.0,1.0,0.5714285714285714,0.6,0.0,0.5714285714285714,1.0,0.2857142857142857,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.3333333333333333,0.0,0.5714285714285714,0.8571428571428571
Llama-3.3-Swallow-70B-Instruct-v0.4,0.9242424242424242,0.9166666666666666,0.5384615384615384,0.7407407407407407,0.7560975609756098,1.0,0.8205128205128205,0.8064516129032258,0.72,0.9285714285714286,0.8,0.8536585365853658,0.7948717948717948,0.8235294117647058,0.6296296296296297,0.9166666666666666,0.8709677419354839,0.5454545454545454,0.9615384615384616,0.7959183673469388,0.7619047619047619,0.6923076923076923,1.0,0.5,1.0,0.48484848484848486,0.5625,0.5192307692307693,0.4074074074074074,0.12195121951219512,0.8378378378378378,0.48717948717948717,0.6451612903225806,0.52,1.0,0.68,0.2926829268292683,0.4358974358974359,0.47058823529411764,0.37037037037037035,0.6666666666666666,0.8709677419354839,0.3939393939393939,0.8461538461538461,0.5510204081632653,0.35714285714285715,0.5,0.9230769230769231,0.6666666666666666,1.0,0.75,0.5714285714285714,0.8571428571428571,0.0,1.0,1.0,0.8571428571428571,1.0,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.7142857142857143,1.0,0.14285714285714285,0.6,0.0,1.0,0.8571428571428571,0.42857142857142855,0.7142857142857143,0.2857142857142857,0.0,0.0,0.16666666666666666,0.2857142857142857,0.2857142857142857,0.8571428571428571,0.25,0.8571428571428571,0.8571428571428571,0.0,0.8571428571428571,1.0,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.8571428571428571,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.0,0.4,0.0,0.7142857142857143,0.5714285714285714,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.2857142857142857
gemini-2.5-pro,0.9545454545454546,0.9166666666666666,0.9038461538461539,0.9259259259259259,0.8536585365853658,0.972972972972973,0.9487179487179487,0.967741935483871,0.76,1.0,0.8,1.0,0.9743589743589743,0.8823529411764706,0.9629629629629629,1.0,1.0,0.696969696969697,0.8846153846153846,0.8979591836734694,0.9047619047619048,0.8653846153846154,0.9615384615384616,0.6666666666666666,1.0,1.0,0.8958333333333334,0.9615384615384616,0.8888888888888888,0.7073170731707317,0.972972972972973,0.8717948717948718,0.9354838709677419,0.8,1.0,0.8,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,0.696969696969697,0.9230769230769231,0.9591836734693877,0.9523809523809523,0.7307692307692307,0.9615384615384616,0.75,1.0,0.75,0.8571428571428571,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.7142857142857143,0.16666666666666666,0.8571428571428571,0.42857142857142855,0.8571428571428571,1.0,1.0,1.0,0.6,0.4166666666666667,0.7142857142857143,1.0,0.8571428571428571,1.0,0.14285714285714285,0.7142857142857143,0.7142857142857143,0.8333333333333334,0.14285714285714285,1.0,1.0,0.75,1.0,1.0,0.0,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.7142857142857143,0.5,0.7142857142857143,0.5714285714285714,1.0,0.8571428571428571,1.0,1.0,0.6,0.5,1.0,1.0,0.7142857142857143,0.8571428571428571,0.2857142857142857,0.42857142857142855,0.5714285714285714,1.0,0.2857142857142857,1.0,1.0
gpt-4.1-2025-04-14,0.9242424242424242,1.0,0.8846153846153846,1.0,0.9024390243902439,0.972972972972973,0.9487179487179487,0.8709677419354839,0.76,1.0,0.76,1.0,0.9743589743589743,1.0,0.8148148148148148,1.0,1.0,0.6363636363636364,0.9615384615384616,0.9387755102040817,0.9285714285714286,0.7692307692307693,0.9615384615384616,0.6666666666666666,1.0,0.9393939393939394,0.8958333333333334,0.8461538461538461,0.9629629629629629,0.7560975609756098,1.0,0.8974358974358975,0.8709677419354839,0.84,1.0,0.72,1.0,0.9743589743589743,1.0,0.8518518518518519,0.875,1.0,0.7575757575757576,0.9615384615384616,0.8979591836734694,0.9047619047619048,0.7115384615384616,0.9615384615384616,0.8333333333333334,1.0,1.0,1.0,1.0,0.2857142857142857,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,0.8571428571428571,1.0,1.0,0.8333333333333334,0.8571428571428571,1.0,1.0,1.0,1.0,0.5714285714285714,0.6,0.25,1.0,0.8571428571428571,1.0,0.7142857142857143,0.0,0.8571428571428571,0.7142857142857143,0.8333333333333334,0.5714285714285714,0.8571428571428571,1.0,1.0,0.7142857142857143,1.0,0.2857142857142857,1.0,1.0,1.0,0.7142857142857143,0.8571428571428571,1.0,0.8571428571428571,1.0,1.0,1.0,0.8571428571428571,1.0,0.8571428571428571,1.0,1.0,0.2857142857142857,0.6,0.4166666666666667,1.0,1.0,1.0,0.8571428571428571,0.2857142857142857,0.7142857142857143,0.5714285714285714,1.0,0.2857142857142857,0.8571428571428571,1.0
qwq-bakeneko-32b,0.6515151515151515,0.9791666666666666,0.7884615384615384,1.0,0.7073170731707317,1.0,0.9230769230769231,0.6774193548387096,0.72,1.0,0.72,0.926829268292683,0.9743589743589743,0.9411764705882353,0.8518518518518519,1.0,1.0,0.6666666666666666,0.8076923076923077,0.7142857142857143,0.8333333333333334,0.7115384615384616,0.9615384615384616,0.6666666666666666,1.0,0.5606060606060606,0.9791666666666666,0.6923076923076923,0.9629629629629629,0.6829268292682927,1.0,0.8717948717948718,0.6451612903225806,0.56,0.9285714285714286,0.72,0.926829268292683,0.8717948717948718,1.0,0.8148148148148148,0.9166666666666666,0.967741935483871,0.696969696969697,0.8461538461538461,0.7755102040816326,0.8333333333333334,0.7115384615384616,0.9615384615384616,0.75,1.0,1.0,0.7142857142857143,1.0,0.2857142857142857,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,1.0,0.8571428571428571,1.0,0.7142857142857143,1.0,0.5714285714285714,0.5714285714285714,1.0,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.6,0.0,0.8571428571428571,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.0,0.2857142857142857,0.0,0.16666666666666666,0.0,0.7142857142857143,0.42857142857142855,0.75,0.7142857142857143,1.0,0.2857142857142857,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,0.5714285714285714,1.0,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.14285714285714285,0.6,0.0,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.0,0.2857142857142857,0.0,0.16666666666666666,0.0,1.0,0.42857142857142855
Llama-3.1-Swallow-8B-Instruct-v0.5,0.18181818181818182,1.0,0.6730769230769231,0.8518518518518519,0.5121951219512195,0.972972972972973,0.6666666666666666,0.5483870967741935,0.32,0.6428571428571429,0.6,0.5121951219512195,0.9487179487179487,0.5882352941176471,0.37037037037037035,0.625,0.7419354838709677,0.6363636363636364,0.8461538461538461,0.5510204081632653,0.7380952380952381,0.6923076923076923,0.9230769230769231,0.4166666666666667,1.0,0.10606060606060606,0.8958333333333334,0.6346153846153846,0.7407407407407407,0.07317073170731707,0.8918918918918919,0.41025641025641024,0.4838709677419355,0.24,0.5714285714285714,0.64,0.43902439024390244,0.6923076923076923,0.5294117647058824,0.18518518518518517,0.5,0.7096774193548387,0.5757575757575758,0.8076923076923077,0.2857142857142857,0.5714285714285714,0.5961538461538461,0.8846153846153846,0.08333333333333333,0.8,0.5,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.7142857142857143,1.0,0.2857142857142857,1.0,0.42857142857142855,0.8571428571428571,1.0,0.8571428571428571,0.7142857142857143,0.6666666666666666,0.42857142857142855,0.2857142857142857,0.2857142857142857,1.0,0.8571428571428571,0.14285714285714285,0.6,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,1.0,0.14285714285714285,0.14285714285714285,0.0,0.3333333333333333,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.0,0.5714285714285714,1.0,0.14285714285714285,0.7142857142857143,1.0,0.2857142857142857,1.0,0.2857142857142857,0.7142857142857143,0.8571428571428571,0.5714285714285714,0.7142857142857143,0.5,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.2857142857142857,0.8,0.0,0.14285714285714285,0.0,0.14285714285714285,0.5714285714285714,0.0,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285
RakutenAI-2.0-8x7B-instruct,0.9545454545454546,0.9166666666666666,0.6346153846153846,0.7407407407407407,0.8292682926829268,0.972972972972973,0.9487179487179487,0.8709677419354839,0.76,0.9285714285714286,0.76,1.0,0.9487179487179487,0.9411764705882353,0.9629629629629629,0.9583333333333334,0.967741935483871,0.6060606060606061,0.9615384615384616,0.8367346938775511,0.7857142857142857,0.6153846153846154,1.0,0.5,1.0,0.4090909090909091,0.3958333333333333,0.40384615384615385,0.25925925925925924,0.12195121951219512,0.8648648648648649,0.28205128205128205,0.41935483870967744,0.28,0.5714285714285714,0.6,0.5365853658536586,0.46153846153846156,0.4117647058823529,0.5185185185185185,0.5,0.45161290322580644,0.42424242424242425,0.34615384615384615,0.5306122448979592,0.38095238095238093,0.4230769230769231,0.5384615384615384,0.16666666666666666,0.9,0.75,0.7142857142857143,0.42857142857142855,0.14285714285714285,0.8571428571428571,1.0,1.0,1.0,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.8571428571428571,0.7142857142857143,0.6,0.0,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.14285714285714285,0.0,0.0,0.3333333333333333,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.25,0.7142857142857143,0.2857142857142857,0.0,0.42857142857142855,0.5,0.0,0.2857142857142857,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.14285714285714285,0.2857142857142857,0.0,0.0,0.2857142857142857,0.14285714285714285,0.6,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0
